06-01-23_19-50-27-782 - Logging Started
19-53-33-031 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-36-041 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-39-037 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-42-226 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-45-229 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-48-226 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-51-214 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-54-209 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-57-227 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-00-219 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-03-225 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-06-218 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-09-211 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-12-332 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-15-330 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-18-346 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-21-343 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-24-345 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-27-324 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-30-328 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-33-331 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-36-334 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-39-331 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-42-337 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-45-325 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-48-334 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-51-345 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-54-326 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-57-326 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-00-333 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-03-333 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-06-335 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-09-334 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-12-331 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-15-335 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-18-339 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-21-333 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-24-331 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-27-331 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-30-336 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-33-333 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-36-322 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-39-334 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-42-340 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-45-335 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-48-341 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-51-336 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-55-54-324 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
